"","kegg_id","gene_name","gene_path"
"LB18_fxndf.K03949","K03949","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5","Metabolism; Energy metabolism; Oxidative phosphorylation | Organismal Systems; Nervous system; Retrograde endocannabinoid signaling | Organismal Systems; Environmental adaptation; Thermogenesis | Human Diseases; Neurodegenerative diseases; Alzheimer disease | Human Diseases; Neurodegenerative diseases; Parkinson disease | Human Diseases; Neurodegenerative diseases; Huntington disease | Human Diseases; Endocrine and metabolic diseases; Non-alcoholic fatty liver disease (NAFLD)"
"LB18_fxndf.K03955","K03955","NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1","Metabolism; Energy metabolism; Oxidative phosphorylation | Organismal Systems; Nervous system; Retrograde endocannabinoid signaling | Organismal Systems; Environmental adaptation; Thermogenesis | Human Diseases; Neurodegenerative diseases; Alzheimer disease | Human Diseases; Neurodegenerative diseases; Parkinson disease | Human Diseases; Neurodegenerative diseases; Huntington disease | Human Diseases; Endocrine and metabolic diseases; Non-alcoholic fatty liver disease (NAFLD)"
"LB18_fxndf.K03961","K03961","NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 5","Metabolism; Energy metabolism; Oxidative phosphorylation | Organismal Systems; Nervous system; Retrograde endocannabinoid signaling | Organismal Systems; Environmental adaptation; Thermogenesis | Human Diseases; Neurodegenerative diseases; Alzheimer disease | Human Diseases; Neurodegenerative diseases; Parkinson disease | Human Diseases; Neurodegenerative diseases; Huntington disease | Human Diseases; Endocrine and metabolic diseases; Non-alcoholic fatty liver disease (NAFLD)"
"LB18_fxndf.K04019","K04019","ethanolamine utilization protein EutA","Metabolism; Lipid metabolism; Glycerophospholipid metabolism"
"LB18_fxndf.K04023","K04023","ethanolamine transporter","Not Included in Pathway or Brite; Unclassified: metabolism; Amino acid metabolism"
"LB18_fxndf.K04026","K04026","ethanolamine utilization protein EutL","Not Included in Pathway or Brite; Unclassified: metabolism; Amino acid metabolism"
"LB18_fxndf.K04029","K04029","ethanolamine utilization protein EutP","Not Included in Pathway or Brite; Unclassified: metabolism; Amino acid metabolism"
"LB18_fxndf.K04030","K04030","ethanolamine utilization protein EutQ","Not Included in Pathway or Brite; Unclassified: metabolism; Amino acid metabolism"
"LB18_fxndf.K04031","K04031","ethanolamine utilization protein EutS","Not Included in Pathway or Brite; Unclassified: metabolism; Amino acid metabolism"
"LB18_fxndf.K04097","K04097","prostaglandin-H2 D-isomerase / glutathione transferase [EC:5.3.99.2 2.5.1.18]","Metabolism; Lipid metabolism; Arachidonic acid metabolism | Metabolism; Metabolism of other amino acids; Glutathione metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450 | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - cytochrome P450 | Human Diseases; Cancers: Overview; Chemical carcinogenesis"
"LB18_fxndf.K04134","K04134","muscarinic acetylcholine receptor","Environmental Information Processing; Signaling molecules and interaction; Neuroactive ligand-receptor interaction | Brite Hierarchies; Protein families: signaling and cellular processes; G protein-coupled receptors"
"LB18_fxndf.K04218","K04218","somatostatin receptor 2","Environmental Information Processing; Signal transduction; cAMP signaling pathway | Environmental Information Processing; Signaling molecules and interaction; Neuroactive ligand-receptor interaction | Organismal Systems; Digestive system; Gastric acid secretion | Brite Hierarchies; Protein families: signaling and cellular processes; G protein-coupled receptors"
"LB18_fxndf.K04225","K04225","K04225 (name not available)","K04225 (path not available)"
"LB18_fxndf.K04237","K04237","partitioning defective protein 3","Environmental Information Processing; Signal transduction; Rap1 signaling pathway | Environmental Information Processing; Signal transduction; Hippo signaling pathway | Environmental Information Processing; Signal transduction; Hippo signaling pathway - fly | Environmental Information Processing; Signaling molecules and interaction; Neuroactive ligand-receptor interaction | Cellular Processes; Transport and catabolism; Endocytosis | Cellular Processes; Cellular community - eukaryotes; Adherens junction | Cellular Processes; Cellular community - eukaryotes; Tight junction | Organismal Systems; Immune system; Chemokine signaling pathway | Organismal Systems; Development; Axon guidance | Human Diseases; Infectious diseases: Viral; Human papillomavirus infection | Brite Hierarchies; Protein families: metabolism; Protein phosphatases and associated proteins"
"LB18_fxndf.K04257","K04257","olfactory receptor","Organismal Systems; Sensory system; Olfactory transduction | Brite Hierarchies; Protein families: signaling and cellular processes; G protein-coupled receptors"
"LB18_fxndf.K04280","K04280","gonadotropin-releasing hormone receptor","Environmental Information Processing; Signaling molecules and interaction; Neuroactive ligand-receptor interaction | Organismal Systems; Endocrine system; GnRH signaling pathway | Brite Hierarchies; Protein families: signaling and cellular processes; G protein-coupled receptors"
"LB18_fxndf.K04344","K04344","voltage-dependent calcium channel P/Q type alpha-1A","Environmental Information Processing; Signal transduction; MAPK signaling pathway | Environmental Information Processing; Signal transduction; Calcium signaling pathway | Organismal Systems; Nervous system; Glutamatergic synapse | Organismal Systems; Nervous system; GABAergic synapse | Organismal Systems; Nervous system; Cholinergic synapse | Organismal Systems; Nervous system; Dopaminergic synapse | Organismal Systems; Nervous system; Serotonergic synapse | Organismal Systems; Nervous system; Long-term depression | Organismal Systems; Nervous system; Retrograde endocannabinoid signaling | Organismal Systems; Nervous system; Synaptic vesicle cycle | Organismal Systems; Sensory system; Taste transduction | Human Diseases; Substance dependence; Morphine addiction | Human Diseases; Substance dependence; Nicotine addiction | Human Diseases; Endocrine and metabolic diseases; Type II diabetes mellitus | Brite Hierarchies; Protein families: signaling and cellular processes; Ion channels"
"LB18_fxndf.K04354","K04354","serine/threonine-protein phosphatase 2A regulatory subunit B","Genetic Information Processing; Translation; mRNA surveillance pathway | Environmental Information Processing; Signal transduction; Hippo signaling pathway | Environmental Information Processing; Signal transduction; Hippo signaling pathway - fly | Environmental Information Processing; Signal transduction; Sphingolipid signaling pathway | Environmental Information Processing; Signal transduction; PI3K-Akt signaling pathway | Environmental Information Processing; Signal transduction; AMPK signaling pathway | Cellular Processes; Cell growth and death; Cell cycle - yeast | Cellular Processes; Cellular community - eukaryotes; Tight junction | Organismal Systems; Circulatory system; Adrenergic signaling in cardiomyocytes | Organismal Systems; Nervous system; Dopaminergic synapse | Human Diseases; Infectious diseases: Viral; Hepatitis C | Human Diseases; Infectious diseases: Viral; Human papillomavirus infection | Human Diseases; Infectious diseases: Parasitic; Chagas disease (American trypanosomiasis) | Brite Hierarchies; Protein families: metabolism; Protein phosphatases and associated proteins | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins"
"LB18_fxndf.K04362","K04362","fibroblast growth factor receptor 1 [EC:2.7.10.1]","Environmental Information Processing; Signal transduction; Ras signaling pathway | Environmental Information Processing; Signal transduction; Rap1 signaling pathway | Environmental Information Processing; Signal transduction; MAPK signaling pathway | Environmental Information Processing; Signal transduction; PI3K-Akt signaling pathway | Cellular Processes; Cellular community - eukaryotes; Adherens junction | Cellular Processes; Cellular community - eukaryotes; Signaling pathways regulating pluripotency of stem cells | Cellular Processes; Cell motility; Regulation of actin cytoskeleton | Organismal Systems; Endocrine system; Parathyroid hormone synthesis, secretion and action | Organismal Systems; Environmental adaptation; Thermogenesis | Human Diseases; Cancers: Overview; Pathways in cancer | Human Diseases; Cancers: Overview; Central carbon metabolism in cancer | Human Diseases; Cancers: Overview; Proteoglycans in cancer | Human Diseases; Cancers: Specific types; Melanoma | Human Diseases; Cancers: Specific types; Prostate cancer | Human Diseases; Cancers: Specific types; Breast cancer | Brite Hierarchies; Protein families: metabolism; Protein kinases | Brite Hierarchies; Protein families: signaling and cellular processes; CD molecules | Brite Hierarchies; Protein families: signaling and cellular processes; Glycosaminoglycan binding proteins"
"LB18_fxndf.K04365","K04365","B-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]","Environmental Information Processing; Signal transduction; Rap1 signaling pathway | Environmental Information Processing; Signal transduction; MAPK signaling pathway | Environmental Information Processing; Signal transduction; MAPK signaling pathway - fly | Environmental Information Processing; Signal transduction; ErbB signaling pathway | Environmental Information Processing; Signal transduction; FoxO signaling pathway | Environmental Information Processing; Signal transduction; cAMP signaling pathway | Environmental Information Processing; Signal transduction; mTOR signaling pathway | Cellular Processes; Cell growth and death; Apoptosis - fly | Cellular Processes; Cellular community - eukaryotes; Focal adhesion | Cellular Processes; Cell motility; Regulation of actin cytoskeleton | Organismal Systems; Immune system; Natural killer cell mediated cytotoxicity | Organismal Systems; Immune system; Chemokine signaling pathway | Organismal Systems; Endocrine system; Insulin signaling pathway | Organismal Systems; Endocrine system; Progesterone-mediated oocyte maturation | Organismal Systems; Endocrine system; Parathyroid hormone synthesis, secretion and action | Organismal Systems; Circulatory system; Vascular smooth muscle contraction | Organismal Systems; Nervous system; Serotonergic synapse | Organismal Systems; Nervous system; Long-term potentiation | Organismal Systems; Nervous system; Long-term depression | Organismal Systems; Nervous system; Neurotrophin signaling pathway | Organismal Systems; Development; Dorso-ventral axis formation | Human Diseases; Cancers: Overview; Pathways in cancer | Human Diseases; Cancers: Overview; Proteoglycans in cancer | Human Diseases; Cancers: Specific types; Colorectal cancer | Human Diseases; Cancers: Specific types; Pancreatic cancer | Human Diseases; Cancers: Specific types; Hepatocellular carcinoma | Human Diseases; Cancers: Specific types; Gastric cancer | Human Diseases; Cancers: Specific types; Glioma | Human Diseases; Cancers: Specific types; Thyroid cancer | Human Diseases; Cancers: Specific types; Acute myeloid leukemia | Human Diseases; Cancers: Specific types; Chronic myeloid leukemia | Human Diseases; Cancers: Specific types; Melanoma | Human Diseases; Cancers: Specific types; Renal cell carcinoma | Human Diseases; Cancers: Specific types; Bladder cancer | Human Diseases; Cancers: Specific types; Prostate cancer | Human Diseases; Cancers: Specific types; Endometrial cancer | Human Diseases; Cancers: Specific types; Breast cancer | Human Diseases; Cancers: Specific types; Non-small cell lung cancer | Human Diseases; Substance dependence; Alcoholism | Human Diseases; Endocrine and metabolic diseases; Cushing syndrome | Human Diseases; Infectious diseases: Viral; Hepatitis B | Human Diseases; Infectious diseases: Viral; Hepatitis C | Human Diseases; Drug resistance: Antineoplastic; EGFR tyrosine kinase inhibitor resistance | Human Diseases; Drug resistance: Antineoplastic; Endocrine resistance | Brite Hierarchies; Protein families: metabolism; Protein kinases"
"LB18_fxndf.K04368","K04368","mitogen-activated protein kinase kinase 1 [EC:2.7.12.2]","Environmental Information Processing; Signal transduction; Ras signaling pathway | Environmental Information Processing; Signal transduction; Rap1 signaling pathway | Environmental Information Processing; Signal transduction; MAPK signaling pathway | Environmental Information Processing; Signal transduction; MAPK signaling pathway - fly | Environmental Information Processing; Signal transduction; ErbB signaling pathway | Environmental Information Processing; Signal transduction; VEGF signaling pathway | Environmental Information Processing; Signal transduction; Apelin signaling pathway | Environmental Information Processing; Signal transduction; TNF signaling pathway | Environmental Information Processing; Signal transduction; HIF-1 signaling pathway | Environmental Information Processing; Signal transduction; FoxO signaling pathway | Environmental Information Processing; Signal transduction; Phospholipase D signaling pathway | Environmental Information Processing; Signal transduction; Sphingolipid signaling pathway | Environmental Information Processing; Signal transduction; cAMP signaling pathway | Environmental Information Processing; Signal transduction; cGMP-PKG signaling pathway | Environmental Information Processing; Signal transduction; PI3K-Akt signaling pathway | Environmental Information Processing; Signal transduction; mTOR signaling pathway | Cellular Processes; Transport and catabolism; Autophagy - animal | Cellular Processes; Cell growth and death; Oocyte meiosis | Cellular Processes; Cell growth and death; Apoptosis | Cellular Processes; Cell growth and death; Cellular senescence | Cellular Processes; Cellular community - eukaryotes; Focal adhesion | Cellular Processes; Cellular community - eukaryotes; Gap junction | Cellular Processes; Cellular community - eukaryotes; Signaling pathways regulating pluripotency of stem cells | Cellular Processes; Cell motility; Regulation of actin cytoskeleton | Organismal Systems; Immune system; Toll-like receptor signaling pathway | Organismal Systems; Immune system; Natural killer cell mediated cytotoxicity | Organismal Systems; Immune system; T cell receptor signaling pathway | Organismal Systems; Immune system; B cell receptor signaling pathway | Organismal Systems; Immune system; Fc epsilon RI signaling pathway | Organismal Systems; Immune system; Fc gamma R-mediated phagocytosis | Organismal Systems; Immune system; Chemokine signaling pathway | Organismal Systems; Endocrine system; Insulin signaling pathway | Organismal Systems; Endocrine system; GnRH signaling pathway | Organismal Systems; Endocrine system; Estrogen signaling pathway | Organismal Systems; Endocrine system; Progesterone-mediated oocyte maturation | Organismal Systems; Endocrine system; Prolactin signaling pathway | Organismal Systems; Endocrine system; Oxytocin signaling pathway | Organismal Systems; Endocrine system; Relaxin signaling pathway | Organismal Systems; Endocrine system; Thyroid hormone signaling pathway | Organismal Systems; Endocrine system; Parathyroid hormone synthesis, secretion and action | Organismal Systems; Endocrine system; Melanogenesis | Organismal Systems; Circulatory system; Vascular smooth muscle contraction | Organismal Systems; Nervous system; Cholinergic synapse | Organismal Systems; Nervous system; Serotonergic synapse | Organismal Systems; Nervous system; Long-term potentiation | Organismal Systems; Nervous system; Long-term depression | Organismal Systems; Nervous system; Neurotrophin signaling pathway | Organismal Systems; Development; Dorso-ventral axis formation | Organismal Systems; Development; Osteoclast differentiation | Organismal Systems; Environmental adaptation; Plant-pathogen interaction | Human Diseases; Cancers: Overview; Pathways in cancer | Human Diseases; Cancers: Overview; Central carbon metabolism in cancer | Human Diseases; Cancers: Overview; Choline metabolism in cancer | Human Diseases; Cancers: Overview; MicroRNAs in cancer | Human Diseases; Cancers: Overview; Proteoglycans in cancer | Human Diseases; Cancers: Specific types; Colorectal cancer | Human Diseases; Cancers: Specific types; Pancreatic cancer | Human Diseases; Cancers: Specific types; Hepatocellular carcinoma | Human Diseases; Cancers: Specific types; Gastric cancer | Human Diseases; Cancers: Specific types; Glioma | Human Diseases; Cancers: Specific types; Thyroid cancer | Human Diseases; Cancers: Specific types; Acute myeloid leukemia | Human Diseases; Cancers: Specific types; Chronic myeloid leukemia | Human Diseases; Cancers: Specific types; Melanoma | Human Diseases; Cancers: Specific types; Renal cell carcinoma | Human Diseases; Cancers: Specific types; Bladder cancer | Human Diseases; Cancers: Specific types; Prostate cancer | Human Diseases; Cancers: Specific types; Endometrial cancer | Human Diseases; Cancers: Specific types; Breast cancer | Human Diseases; Cancers: Specific types; Non-small cell lung cancer | Human Diseases; Neurodegenerative diseases; Prion diseases | Human Diseases; Substance dependence; Alcoholism | Human Diseases; Endocrine and metabolic diseases; Cushing syndrome | Human Diseases; Infectious diseases: Viral; Human T-cell leukemia virus 1 infection | Human Diseases; Infectious diseases: Viral; Human immunodeficiency virus 1 infection | Human Diseases; Infectious diseases: Viral; Influenza A | Human Diseases; Infectious diseases: Viral; Hepatitis B | Human Diseases; Infectious diseases: Viral; Hepatitis C | Human Diseases; Infectious diseases: Viral; Human cytomegalovirus infection | Human Diseases; Infectious diseases: Viral; Kaposi sarcoma-associated herpesvirus infection | Human Diseases; Infectious diseases: Viral; Human papillomavirus infection | Human Diseases; Drug resistance: Antineoplastic; EGFR tyrosine kinase inhibitor resistance | Human Diseases; Drug resistance: Antineoplastic; Endocrine resistance | Brite Hierarchies; Protein families: metabolism; Protein kinases"
"LB18_fxndf.K04370","K04370","ragulator complex protein LAMTOR3","Environmental Information Processing; Signal transduction; MAPK signaling pathway | Environmental Information Processing; Signal transduction; mTOR signaling pathway"
"LB18_fxndf.K04372","K04372","MAP kinase interacting serine/threonine kinase [EC:2.7.11.1]","Environmental Information Processing; Signal transduction; MAPK signaling pathway | Environmental Information Processing; Signal transduction; HIF-1 signaling pathway | Organismal Systems; Endocrine system; Insulin signaling pathway | Brite Hierarchies; Protein families: metabolism; Protein kinases"
"LB18_fxndf.K04374","K04374","cyclic AMP-dependent transcription factor ATF-4","Genetic Information Processing; Folding, sorting and degradation; Protein processing in endoplasmic reticulum | Environmental Information Processing; Signal transduction; MAPK signaling pathway | Environmental Information Processing; Signal transduction; TNF signaling pathway | Environmental Information Processing; Signal transduction; cGMP-PKG signaling pathway | Environmental Information Processing; Signal transduction; PI3K-Akt signaling pathway | Cellular Processes; Transport and catabolism; Mitophagy - animal | Cellular Processes; Cell growth and death; Apoptosis | Cellular Processes; Cell growth and death; Apoptosis - fly | Organismal Systems; Endocrine system; Insulin secretion | Organismal Systems; Endocrine system; Glucagon signaling pathway | Organismal Systems; Endocrine system; GnRH signaling pathway | Organismal Systems; Endocrine system; Estrogen signaling pathway | Organismal Systems; Endocrine system; Relaxin signaling pathway | Organismal Systems; Endocrine system; Thyroid hormone synthesis | Organismal Systems; Endocrine system; Parathyroid hormone synthesis, secretion and action | Organismal Systems; Endocrine system; Aldosterone synthesis and secretion | Organismal Systems; Endocrine system; Cortisol synthesis and secretion | Organismal Systems; Circulatory system; Adrenergic signaling in cardiomyocytes | Organismal Systems; Nervous system; Cholinergic synapse | Organismal Systems; Nervous system; Dopaminergic synapse | Organismal Systems; Nervous system; Long-term potentiation | Organismal Systems; Nervous system; Neurotrophin signaling pathway | Organismal Systems; Aging; Longevity regulating pathway | Organismal Systems; Aging; Longevity regulating pathway - worm | Human Diseases; Cancers: Overview; Viral carcinogenesis | Human Diseases; Cancers: Specific types; Prostate cancer | Human Diseases; Substance dependence; Cocaine addiction | Human Diseases; Substance dependence; Amphetamine addiction | Human Diseases; Substance dependence; Alcoholism | Human Diseases; Endocrine and metabolic diseases; Non-alcoholic fatty liver disease (NAFLD) | Human Diseases; Endocrine and metabolic diseases; Cushing syndrome | Human Diseases; Infectious diseases: Viral; Human T-cell leukemia virus 1 infection | Human Diseases; Infectious diseases: Viral; Hepatitis B | Human Diseases; Infectious diseases: Viral; Human cytomegalovirus infection | Brite Hierarchies; Protein families: genetic information processing; Transcription factors"
"LB18_fxndf.K04393","K04393","cell division control protein 42","Environmental Information Processing; Signal transduction; Ras signaling pathway | Environmental Information Processing; Signal transduction; Rap1 signaling pathway | Environmental Information Processing; Signal transduction; MAPK signaling pathway | Environmental Information Processing; Signal transduction; MAPK signaling pathway - yeast | Environmental Information Processing; Signal transduction; VEGF signaling pathway | Cellular Processes; Transport and catabolism; Endocytosis | Cellular Processes; Cellular community - eukaryotes; Focal adhesion | Cellular Processes; Cellular community - eukaryotes; Adherens junction | Cellular Processes; Cellular community - eukaryotes; Tight junction | Cellular Processes; Cell motility; Regulation of actin cytoskeleton | Organismal Systems; Immune system; T cell receptor signaling pathway | Organismal Systems; Immune system; Fc gamma R-mediated phagocytosis | Organismal Systems; Immune system; Leukocyte transendothelial migration | Organismal Systems; Immune system; Chemokine signaling pathway | Organismal Systems; Endocrine system; GnRH signaling pathway | Organismal Systems; Nervous system; Neurotrophin signaling pathway | Organismal Systems; Development; Axon guidance | Human Diseases; Cancers: Overview; Pathways in cancer | Human Diseases; Cancers: Overview; Proteoglycans in cancer | Human Diseases; Cancers: Overview; Viral carcinogenesis | Human Diseases; Cancers: Specific types; Pancreatic cancer | Human Diseases; Cancers: Specific types; Renal cell carcinoma | Human Diseases; Endocrine and metabolic diseases; Non-alcoholic fatty liver disease (NAFLD) | Human Diseases; Endocrine and metabolic diseases; AGE-RAGE signaling pathway in diabetic complications | Human Diseases; Infectious diseases: Bacterial; Epithelial cell signaling in Helicobacter pylori infection | Human Diseases; Infectious diseases: Bacterial; Pathogenic Escherichia coli infection | Human Diseases; Infectious diseases: Bacterial; Salmonella infection | Human Diseases; Infectious diseases: Bacterial; Shigellosis | Human Diseases; Infectious diseases: Bacterial; Bacterial invasion of epithelial cells | Human Diseases; Infectious diseases: Viral; Human papillomavirus infection | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome | Brite Hierarchies; Protein families: signaling and cellular processes; GTP-binding proteins"
"LB18_fxndf.K04412","K04412","serine/threonine kinase 3","Environmental Information Processing; Signal transduction; MAPK signaling pathway | Environmental Information Processing; Signal transduction; Hippo signaling pathway | Environmental Information Processing; Signal transduction; Hippo signaling pathway - fly | Environmental Information Processing; Signal transduction; Hippo signaling pathway - multiple species | Cellular Processes; Cell growth and death; Apoptosis - fly | Brite Hierarchies; Protein families: metabolism; Protein kinases"
"LB18_fxndf.K04422","K04422","mitogen-activated protein kinase kinase kinase 13 [EC:2.7.11.25]","Environmental Information Processing; Signal transduction; MAPK signaling pathway | Brite Hierarchies; Protein families: metabolism; Protein kinases"
"LB18_fxndf.K04428","K04428","mitogen-activated protein kinase kinase kinase 4 [EC:2.7.11.25]","Environmental Information Processing; Signal transduction; MAPK signaling pathway | Environmental Information Processing; Signal transduction; MAPK signaling pathway - fly | Organismal Systems; Immune system; Toll and Imd signaling pathway | Organismal Systems; Endocrine system; GnRH signaling pathway | Brite Hierarchies; Protein families: metabolism; Protein kinases"
"LB18_fxndf.K04432","K04432","mitogen-activated protein kinase kinase 3 [EC:2.7.12.2]","Environmental Information Processing; Signal transduction; Rap1 signaling pathway | Environmental Information Processing; Signal transduction; MAPK signaling pathway | Environmental Information Processing; Signal transduction; MAPK signaling pathway - fly | Environmental Information Processing; Signal transduction; TNF signaling pathway | Cellular Processes; Cell growth and death; Cellular senescence | Organismal Systems; Immune system; Toll-like receptor signaling pathway | Organismal Systems; Immune system; Toll and Imd signaling pathway | Organismal Systems; Immune system; Fc epsilon RI signaling pathway | Organismal Systems; Endocrine system; GnRH signaling pathway | Organismal Systems; Sensory system; Inflammatory mediator regulation of TRP channels | Organismal Systems; Environmental adaptation; Thermogenesis | Human Diseases; Neurodegenerative diseases; Amyotrophic lateral sclerosis (ALS) | Human Diseases; Infectious diseases: Viral; Human immunodeficiency virus 1 infection | Human Diseases; Infectious diseases: Viral; Influenza A | Human Diseases; Infectious diseases: Viral; Hepatitis B | Human Diseases; Infectious diseases: Viral; Epstein-Barr virus infection | Human Diseases; Infectious diseases: Parasitic; Toxoplasmosis | Brite Hierarchies; Protein families: metabolism; Protein kinases"
"LB18_fxndf.K04439","K04439","beta-arrestin","Environmental Information Processing; Signal transduction; MAPK signaling pathway | Environmental Information Processing; Signal transduction; Hedgehog signaling pathway | Cellular Processes; Transport and catabolism; Endocytosis | Organismal Systems; Immune system; Chemokine signaling pathway | Organismal Systems; Endocrine system; Relaxin signaling pathway | Organismal Systems; Endocrine system; Parathyroid hormone synthesis, secretion and action | Organismal Systems; Sensory system; Olfactory transduction | Human Diseases; Substance dependence; Morphine addiction | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking"
"LB18_fxndf.K04440","K04440","mitogen-activated protein kinase 8/9/10 (c-Jun N-terminal kinase) [EC:2.7.11.24]","Genetic Information Processing; Folding, sorting and degradation; Protein processing in endoplasmic reticulum | Environmental Information Processing; Signal transduction; Ras signaling pathway | Environmental Information Processing; Signal transduction; MAPK signaling pathway | Environmental Information Processing; Signal transduction; MAPK signaling pathway - fly | Environmental Information Processing; Signal transduction; ErbB signaling pathway | Environmental Information Processing; Signal transduction; Wnt signaling pathway | Environmental Information Processing; Signal transduction; Hippo signaling pathway - fly | Environmental Information Processing; Signal transduction; TNF signaling pathway | Environmental Information Processing; Signal transduction; FoxO signaling pathway | Environmental Information Processing; Signal transduction; Sphingolipid signaling pathway | Environmental Information Processing; Signal transduction; cAMP signaling pathway | Cellular Processes; Transport and catabolism; Autophagy - animal | Cellular Processes; Transport and catabolism; Mitophagy - animal | Cellular Processes; Cell growth and death; Apoptosis | Cellular Processes; Cell growth and death; Apoptosis - fly | Cellular Processes; Cell growth and death; Apoptosis - multiple species | Cellular Processes; Cell growth and death; Necroptosis | Cellular Processes; Cellular community - eukaryotes; Focal adhesion | Cellular Processes; Cellular community - eukaryotes; Tight junction | Organismal Systems; Immune system; Toll-like receptor signaling pathway | Organismal Systems; Immune system; Toll and Imd signaling pathway | Organismal Systems; Immune system; NOD-like receptor signaling pathway | Organismal Systems; Immune system; RIG-I-like receptor signaling pathway | Organismal Systems; Immune system; C-type lectin receptor signaling pathway | Organismal Systems; Immune system; Th1 and Th2 cell differentiation | Organismal Systems; Immune system; Th17 cell differentiation | Organismal Systems; Immune system; IL-17 signaling pathway | Organismal Systems; Immune system; Fc epsilon RI signaling pathway | Organismal Systems; Endocrine system; Insulin signaling pathway | Organismal Systems; Endocrine system; Adipocytokine signaling pathway | Organismal Systems; Endocrine system; GnRH signaling pathway | Organismal Systems; Endocrine system; Progesterone-mediated oocyte maturation | Organismal Systems; Endocrine system; Prolactin signaling pathway | Organismal Systems; Endocrine system; Relaxin signaling pathway | Organismal Systems; Nervous system; Dopaminergic synapse | Organismal Systems; Nervous system; Retrograde endocannabinoid signaling | Organismal Systems; Nervous system; Neurotrophin signaling pathway | Organismal Systems; Sensory system; Inflammatory mediator regulation of TRP channels | Organismal Systems; Development; Osteoclast differentiation | Organismal Systems; Aging; Longevity regulating pathway - worm | Human Diseases; Cancers: Overview; Pathways in cancer | Human Diseases; Cancers: Overview; Choline metabolism in cancer | Human Diseases; Cancers: Specific types; Colorectal cancer | Human Diseases; Cancers: Specific types; Pancreatic cancer | Human Diseases; Cardiovascular diseases; Fluid shear stress and atherosclerosis | Human Diseases; Endocrine and metabolic diseases; Type II diabetes mellitus | Human Diseases; Endocrine and metabolic diseases; Non-alcoholic fatty liver disease (NAFLD) | Human Diseases; Endocrine and metabolic diseases; Insulin resistance | Human Diseases; Endocrine and metabolic diseases; AGE-RAGE signaling pathway in diabetic complications | Human Diseases; Infectious diseases: Bacterial; Epithelial cell signaling in Helicobacter pylori infection | Human Diseases; Infectious diseases: Bacterial; Salmonella infection | Human Diseases; Infectious diseases: Bacterial; Shigellosis | Human Diseases; Infectious diseases: Bacterial; Pertussis | Human Diseases; Infectious diseases: Bacterial; Tuberculosis | Human Diseases; Infectious diseases: Viral; Human T-cell leukemia virus 1 infection | Human Diseases; Infectious diseases: Viral; Human immunodeficiency virus 1 infection | Human Diseases; Infectious diseases: Viral; Influenza A | Human Diseases; Infectious diseases: Viral; Hepatitis B | Human Diseases; Infectious diseases: Viral; Herpes simplex infection | Human Diseases; Infectious diseases: Viral; Kaposi sarcoma-associated herpesvirus infection | Human Diseases; Infectious diseases: Viral; Epstein-Barr virus infection | Human Diseases; Infectious diseases: Parasitic; Toxoplasmosis | Human Diseases; Infectious diseases: Parasitic; Chagas disease (American trypanosomiasis) | Human Diseases; Drug resistance: Antineoplastic; Endocrine resistance | Brite Hierarchies; Protein families: metabolism; Protein kinases"
